"~I will take a leave next week to rest.","~Je prendrai un congé la semaine prochaine pour me reposer."
"~Je prendrai un congé la semaine prochaine pour me reposer.","~I will take a leave next week to rest."
"~He was very beautiful","~Il était fort beau"
"~Il était fort beau","~He was very beautiful"
"~I plan to propose to her tonight during a romantic dinner by the sea.","~Je prévois de la demander en mariage ce soir lors d'un dîner romantique au bord de la mer"
"~Je prévois de la demander en mariage ce soir lors d'un dîner romantique au bord de la mer","~I plan to propose to her tonight during a romantic dinner by the sea."
"~He regretted cheating on his wife the moment she found out.","~Il a regretté d'avoir trompé sa femme dès l'instant où elle l'a découvert"
"~Il a regretté d'avoir trompé sa femme dès l'instant où elle l'a découvert","~He regretted cheating on his wife the moment she found out."
"~It's better not to meddle in other people's affairs","~Il vaut mieux ne pas se mêler des affaires des autres"
"~Il vaut mieux ne pas se mêler des affaires des autres","~It's better not to meddle in other people's affairs"
"~Gossip in the office can really harm the work atmosphere.","~Les ragots au bureau peuvent vraiment nuire à l'ambiance de travail."
"~Les ragots au bureau peuvent vraiment nuire à l'ambiance de travail.","~Gossip in the office can really harm the work atmosphere."
"~The tabloids sell well because people are curious about celebrities' affairs","~La presse à scandale se vend bien car les gens sont curieux des affaires des célébrités"
"~La presse à scandale se vend bien car les gens sont curieux des affaires des célébrités","~The tabloids sell well because people are curious about celebrities' affairs"
"~How funny!","~Comme c'est drôle"
"~Comme c'est drôle","~How funny!"
"~She cast a spell on the prince to turn him into a frog.","~Elle a jeté un sort au prince pour le transformer en grenouille."
"~Elle a jeté un sort au prince pour le transformer en grenouille.","~She cast a spell on the prince to turn him into a frog."
"~Except for Sundays, I work every day","~Hormis les dimanches, je travaille tous les jours"
"~Hormis les dimanches, je travaille tous les jours","~Except for Sundays, I work every day"
"~I need to renew my passport before my trip abroad.","~Je dois faire renouveler mon passeport avant mon voyage à l'étranger."
"~Je dois faire renouveler mon passeport avant mon voyage à l'étranger.","~I need to renew my passport before my trip abroad."
"~The speech bubbles in the comic strip tell the story.","~Les bulles de dialogue dans la bande dessinée racontent l'histoire."
"~Les bulles de dialogue dans la bande dessinée racontent l'histoire.","~The speech bubbles in the comic strip tell the story."
"~At first glance, it seems that the project can be completed within the given time frame.","~A priori, il semble que le projet soit réalisable dans les délais impartis."
"~A priori, il semble que le projet soit réalisable dans les délais impartis.","~At first glance, it seems that the project can be completed within the given time frame."
"~I don't feel like going out tonight, I prefer to stay at home.","~J'ai la flemme de sortir ce soir, je préfère rester à la maison"
"~J'ai la flemme de sortir ce soir, je préfère rester à la maison","~I don't feel like going out tonight, I prefer to stay at home."
"~The screenwriter has been working on the script for the new movie for months","~Le scénariste travaille sur le script du nouveau film depuis des mois"
"~Le scénariste travaille sur le script du nouveau film depuis des mois","~The screenwriter has been working on the script for the new movie for months"
"~This hotel is considered a gold standard in terms of luxury and service","~Cet hôtel est considéré comme une référence en matière de luxe et de service"
"~Cet hôtel est considéré comme une référence en matière de luxe et de service","~This hotel is considered a gold standard in terms of luxury and service"
"~The illustrator spent hours perfecting his artwork","~Le dessinateur a passé des heures à perfectionner son œuvre d'art"
"~Le dessinateur a passé des heures à perfectionner son œuvre d'art","~The illustrator spent hours perfecting his artwork"
"~I want to introduce you to my favorite cuisine this weekend","~Je veux te faire découvrir ma cuisine préférée ce weekend"
"~Je veux te faire découvrir ma cuisine préférée ce weekend","~I want to introduce you to my favorite cuisine this weekend"
"~My friend is knowledgeable in computing; he can help you with your computer","~Mon ami s'y connaît en informatique, il peut t'aider avec ton ordinateur"
"~Mon ami s'y connaît en informatique, il peut t'aider avec ton ordinateur","~My friend is knowledgeable in computing; he can help you with your computer"
"~To renew his passport, he must go through a complicated administrative process","~Pour renouveler son passeport, il doit suivre une démarche administrative compliquée"
"~Pour renouveler son passeport, il doit suivre une démarche administrative compliquée","~To renew his passport, he must go through a complicated administrative process"
"~Due to the pandemic, many companies have adopted remote work to continue their activities","~En raison de la pandémie, beaucoup d'entreprises ont adopté le télétravail pour continuer leurs activités"
"~En raison de la pandémie, beaucoup d'entreprises ont adopté le télétravail pour continuer leurs activités","~Due to the pandemic, many companies have adopted remote work to continue their activities"
"~Your presence is required at tomorrow's meeting","~Votre présence est requise à la réunion de demain"
"~Votre présence est requise à la réunion de demain","~Your presence is required at tomorrow's meeting"
"~Can you provide me with information about the train schedule?","~Pouvez-vous me renseigner sur les horaires du train ?"
"~Pouvez-vous me renseigner sur les horaires du train ?","~Can you provide me with information about the train schedule?"
"~To open a bank account, you must provide proof of residence","~Pour ouvrir un compte bancaire, vous devez fournir un justificatif de domicile"
"~Pour ouvrir un compte bancaire, vous devez fournir un justificatif de domicile","~To open a bank account, you must provide proof of residence"
"~I will save money in order to go on vacation this summer","~Je vais économiser de l'argent afin de partir en vacances cet été"
"~Je vais économiser de l'argent afin de partir en vacances cet été","~I will save money in order to go on vacation this summer"
"~At the wedding, the bridesmaids wore beautiful blue dresses","~Lors du mariage, les demoiselles d'honneur portaient de magnifiques robes bleues"
"~Lors du mariage, les demoiselles d'honneur portaient de magnifiques robes bleues","~At the wedding, the bridesmaids wore beautiful blue dresses"
"~You must consult a doctor urgently in case of serious symptoms.","~Il faut consulter un médecin de toute urgence en cas de symptômes graves."
"~Il faut consulter un médecin de toute urgence en cas de symptômes graves.","~You must consult a doctor urgently in case of serious symptoms."
"~It is strictly forbidden to smoke in this establishment.","~Il est strictement défendu de fumer dans cet établissement"
"~Il est strictement défendu de fumer dans cet établissement","~It is strictly forbidden to smoke in this establishment."
"~At the slightest doubt, do not hesitate to ask for help.","~Au moindre doute, n'hésitez pas à demander de l'aide."
"~Au moindre doute, n'hésitez pas à demander de l'aide.","~At the slightest doubt, do not hesitate to ask for help."
"~I am good at playing the guitar","~Je suis bon à jouer de la guitare"
"~Je suis bon à jouer de la guitare","~I am good at playing the guitar"
"~After hearing a strange noise in the night, the cat became completely frantic and hid under the bed.","~Après avoir entendu un bruit étrange dans la nuit, le chat est devenu complètement affolé et s'est caché sous le lit."
"~Après avoir entendu un bruit étrange dans la nuit, le chat est devenu complètement affolé et s'est caché sous le lit.","~After hearing a strange noise in the night, the cat became completely frantic and hid under the bed."
"~I will not delay joining the meeting as soon as I finish this work.","~Je ne tarderais pas à rejoindre la réunion dès que j'aurai fini ce travail."
